event_id,email,campaign_id,action,url_clicked,timestamp
e71b619c-0429-4a35-94ac-447a076cee8e,danielle.johnson@shell.com,CMP_LIVE_OTC_2026,Open,https://example.com?utm_source=mailchimp&utm_campaign=CMP_LIVE_OTC_2026,2026-08-20 17:04:18.896315
569c1788-6e6f-49a1-aeff-8e25ea6509da,joshua.walker@shell.com,CMP_LIVE_GASTECH_2026,Open,,2026-09-02 23:04:20.896315
618248a4-6606-4d4e-a96e-4f1cad03878f,jill.rhodes@shell.com,CMP_LIVE_GASTECH_2026,Open,https://example.com?utm_source=mailchimp&utm_campaign=CMP_LIVE_GASTECH_2026,2026-08-13 14:04:18.896315
6564ae7b-0477-4ec9-b14f-5e3d47b1bdc5,jeffery.wagner@shell.com,CMP_LIVE_GASTECH_2026,Open,https://example.com?utm_source=mailchimp&utm_campaign=CMP_LIVE_GASTECH_2026,2026-08-11 13:04:18.896315
e458cfdf-a569-43c0-8a4c-c8f7d1db25c4,jeffery.wagner@shell.com,CMP_PAST_MIDDLE_EAST,Open,https://example.com?utm_source=mailchimp&utm_campaign=CMP_PAST_MIDDLE_EAST,2025-06-28 01:04:18.896315
2492f053-17da-4a96-b8f2-894f5efb8e14,anthony.gonzalez@shell.com,CMP_LIVE_OTC_2026,Open,https://example.com?utm_source=mailchimp&utm_campaign=CMP_LIVE_OTC_2026,2026-08-17 23:04:18.896315
8ab9dacc-2503-4958-a389-355bc1eba3be,anthony.gonzalez@shell.com,CMP_PAST_OIL_GAS_US,Open,https://example.com?utm_source=mailchimp&utm_campaign=CMP_PAST_OIL_GAS_US,2026-02-01 22:04:18.896315
133c321d-edbe-403d-b91c-7cc6f564a607,debra.gardner@shell.com,CMP_PAST_MIDDLE_EAST,Open,https://example.com?utm_source=mailchimp&utm_campaign=CMP_PAST_MIDDLE_EAST,2025-06-21 07:04:18.896315
35e9fb8f-43a2-4429-8313-c9215973a607,linda.wolfe@shell.com,CMP_LIVE_GASTECH_2026,Open,https://example.com?utm_source=mailchimp&utm_campaign=CMP_LIVE_GASTECH_2026,2026-08-28 11:04:18.896315
68c87cbd-f871-4940-8112-02b30033210c,linda.wolfe@shell.com,CMP_LIVE_OTC_2026,Open,https://example.com?utm_source=mailchimp&utm_campaign=CMP_LIVE_OTC_2026,2026-07-22 01:04:18.896315
8caf0d91-831d-4a25-8c51-cf39870426e9,susan.rogers@shell.com,CMP_PAST_O_M_2026,Open,https://example.com?utm_source=mailchimp&utm_campaign=CMP_PAST_O_M_2026,2024-07-18 19:04:18.896315
b0c7e589-1557-4d9a-a424-56df165e0e71,christopher.davis@shell.com,CMP_PAST_OIL_GAS_US,Open,https://example.com?utm_source=mailchimp&utm_campaign=CMP_PAST_OIL_GAS_US,2026-02-18 02:04:18.896315
